Sat May 18 17:27:00 2024 server recieve : OP :  READY_OP  |  |  | 
Sat May 18 17:27:01 2024 server recieve : OP :  READY_OP  |  |  | 
Sat May 18 17:27:01 2024 server send : OP :  READY_OP  |  | WHITE | 
Sat May 18 17:27:02 2024 server recieve : OP :  MOVE_OP  | A2 | A3 | 
Sat May 18 17:27:02 2024 server send : OP :  MOVE_OP  | A2 | A3 | 
Sat May 18 17:27:02 2024 server recieve : OP :  MOVE_OP  | B6 | C6 | 
Sat May 18 17:27:02 2024 server send : OP :  MOVE_OP  | B6 | C6 | 
Sat May 18 17:27:02 2024 server recieve : OP :  MOVE_OP  | A4 | C6 | 
Sat May 18 17:27:02 2024 server send : OP :  MOVE_OP  | A4 | C6 | 
Sat May 18 17:27:02 2024 server recieve : OP :  MOVE_OP  | B4 | C6 | 
Sat May 18 17:27:02 2024 server send : OP :  MOVE_OP  | B4 | C6 | 
Sat May 18 17:27:02 2024 server recieve : OP :  MOVE_OP  | B3 | C4 | 
Sat May 18 17:27:02 2024 server send : OP :  MOVE_OP  | B3 | C4 | 
Sat May 18 17:27:02 2024 server recieve : OP :  MOVE_OP  | B5 | E2 | 
Sat May 18 17:27:02 2024 server send : OP :  MOVE_OP  | B5 | E2 | 
Sat May 18 17:27:02 2024 server recieve : OP :  MOVE_OP  | F2 | E2 | 
Sat May 18 17:27:02 2024 server send : OP :  MOVE_OP  | F2 | E2 | 
Sat May 18 17:27:02 2024 server recieve : OP :  MOVE_OP  | F3 | C4 | 
Sat May 18 17:27:02 2024 server send : OP :  MOVE_OP  | F3 | C4 | 
Sat May 18 17:27:02 2024 server recieve : OP :  MOVE_OP  | E2 | E6 | 
Sat May 18 17:27:02 2024 server send : OP :  MOVE_OP  | E2 | E6 | 
Sat May 18 17:27:02 2024 server recieve : OP :  MOVE_OP  | E3 | E6 | 
Sat May 18 17:27:02 2024 server send : OP :  MOVE_OP  | E3 | E6 | 
Sat May 18 17:27:02 2024 server recieve : OP :  MOVE_OP  | A3 | C4 | 
Sat May 18 17:27:02 2024 server send : OP :  MOVE_OP  | A3 | C4 | 
Sat May 18 17:27:02 2024 server recieve : OP :  MOVE_OP  | C6 | C4 | 
Sat May 18 17:27:02 2024 server send : OP :  MOVE_OP  | C6 | C4 | 
Sat May 18 17:27:02 2024 server recieve : OP :  MOVE_OP  | C1 | C4 | 
Sat May 18 17:27:02 2024 server send : OP :  MOVE_OP  | C1 | C4 | 
Sat May 18 17:27:02 2024 server recieve : OP :  MOVE_OP  | E6 | D5 | 
Sat May 18 17:27:02 2024 server send : OP :  MOVE_OP  | E6 | D5 | 
Sat May 18 17:27:02 2024 server recieve : OP :  MOVE_OP  | C4 | D5 | 
Sat May 18 17:27:02 2024 server send : OP :  MOVE_OP  | C4 | D5 | 
Sat May 18 17:27:02 2024 server send : OP : END_OP |  | 2 | 0
